params,precision,recall,f1-score,support
"n_neighbors=1, p=1, weights=distance",0.7024200139832674,0.6991130054141228,0.7002681174614157,8681
"n_neighbors=1, p=1, weights=uniform",0.7024200139832674,0.6991130054141228,0.7002681174614157,8681
"n_neighbors=1, p=2, weights=distance",0.6734411851479327,0.6714664209192489,0.6721875358353703,8681
"n_neighbors=1, p=2, weights=uniform",0.6734411851479327,0.6714664209192489,0.6721875358353703,8681
"n_neighbors=10, p=1, weights=distance",0.7257321063415156,0.7227277963368276,0.7233239859926224,8681
"n_neighbors=50, p=1, weights=distance",0.706639288318871,0.7013016933533003,0.7016935896601466,8681
"n_neighbors=50, p=1, weights=uniform",0.6955800080154646,0.6881695657182352,0.6891205406350246,8681
"n_neighbors=50, p=2, weights=distance",0.673170496779255,0.6649003571017164,0.6662866899299081,8681
"n_neighbors=50, p=2, weights=uniform",0.6618132673563238,0.6514226471604654,0.6533120391945203,8681
"n_neighbors=100, p=1, weights=distance",0.6867946352102908,0.6792996198594632,0.679739868259816,8681
"n_neighbors=100, p=1, weights=uniform",0.6751107257987669,0.6650155512037784,0.6660409512804841,8681
"n_neighbors=100, p=2, weights=distance",0.6557279760000473,0.6416311484851975,0.6433598401411824,8681
"n_neighbors=100, p=2, weights=uniform",0.6419744355362202,0.6241216449717775,0.6264776358578461,8681
"n_neighbors=1000, p=1, weights=distance",0.6142804435066203,0.5506278078562378,0.5360635758066669,8681
"n_neighbors=1000, p=1, weights=uniform",0.5819045772508177,0.5149176362170257,0.49512138994742216,8681
"n_neighbors=1000, p=2, weights=distance",0.548450993427747,0.4681488307798641,0.44800799221891,8681
"n_neighbors=1000, p=2, weights=uniform",0.4989610229009412,0.41227969127980646,0.37811775666110126,8681
