,document,relavance
962179,17528682,0.2802998721599579
962179,35428882,-0.9017716646194458
962179,14961100,0.6023836135864258
962179,14961140,0.25077003240585327
962179,31788820,0.6760661602020264
962179,14961107,-0.9362969398498535
962179,14961135,-0.9969602823257446
962179,14961094,-0.15017956495285034
962179,14961101,0.8381572961807251
962179,14961083,0.4152698218822479
962179,14961142,0.6653935313224792
962179,23608922,-0.11135608702898026
962179,12924820,-0.9992765784263611
962179,35428888,0.6301326155662537
962179,23608929,-0.9981598258018494
962179,354288811,0.5336815714836121
962179,14961109,-0.9735813140869141
962179,274010711,0.8605217337608337
962179,35428872,0.9919028878211975
962179,30997721,-0.21483980119228363
962179,31788821,0.870381772518158
962179,6630227,-0.9283852577209473
962179,35428887,-0.9797869920730591
962179,149611013,0.16988690197467804
962179,149610814,-0.14518380165100098
962179,317888227,-0.925220251083374
962179,31788829,0.5601381063461304
962179,317888226,-0.757326602935791
962179,23608920,0.7434080839157104
962179,129248226,-0.9917024970054626
962179,14961108,-0.40186694264411926
962179,35428891,-0.982802152633667
962179,35428880,0.8023627400398254
962179,30997720,0.3834986388683319
962179,7639080,0.9429243803024292
962179,30997724,0.6924926042556763
962179,31788823,0.7648540735244751
962179,14961131,0.6757184267044067
962179,27401075,0.5929231643676758
962179,14961118,-0.9734033942222595
962179,14961104,-0.9282905459403992
962179,354288823,-0.6414916515350342
962179,149611319,0.48115625977516174
962179,149611310,-0.9083826541900635
962179,149611318,0.07469447702169418
962179,149611014,-0.9935570955276489
962179,317888211,-0.5291925072669983
962179,129248225,-0.9990257024765015
962179,129248220,-0.9948961734771729
962179,129248210,-0.9975665807723999
962179,23608927,0.0076598068699240685
962179,30997723,0.6227020025253296
962179,6630223,-0.7192738056182861
962179,14961093,-0.6262704133987427
962179,6630220,-0.5098485946655273
962179,14961113,-0.9753761887550354
962179,12924825,-0.9906603097915649
962179,31788825,0.5929231643676758
962179,14961144,-0.5124858617782593
962179,14961145,0.6871356964111328
962179,354288822,-0.9566619992256165
962179,149611321,-0.6744344830513
962179,149611325,-0.9243863224983215
962179,317888228,-0.9555235505104065
962179,149610811,0.40959349274635315
962179,274010726,-0.6624301671981812
962179,149611020,0.5463998317718506
962179,149611015,-0.9927605390548706
962179,129248224,-0.9996596574783325
962179,129248214,-0.9978022575378418
962179,129248219,-0.9866125583648682
