,document,relavance
1117099,32600300,-0.9368684887886047
1117099,1227141,-0.9611127376556396
1117099,12445430,-0.8865438103675842
1117099,35621763,-0.3414226472377777
1117099,13679001,-0.9893151521682739
1117099,32807990,-0.3047766387462616
1117099,13921262,-0.9927566051483154
1117099,33929861,-0.9262093305587769
1117099,30995030,0.7121073007583618
1117099,21121413,-0.9446501731872559
1117099,13679003,-0.8627427816390991
1117099,16050091,-0.9726824164390564
1117099,2301644,0.32710719108581543
1117099,25997112,-0.5375434160232544
1117099,29072031,0.9203203916549683
1117099,29072041,0.8787751197814941
1117099,2771562,-0.9435842633247375
1117099,28006811,-0.8167452812194824
1117099,21814233,-0.7460058927536011
1117099,21398796,0.7989725470542908
1117099,258780,-0.8667247295379639
1117099,23068000,0.9307556748390198
1117099,22952505,-0.4548010230064392
1117099,29387213,0.6343697309494019
1117099,25170205,-0.8421452045440674
1117099,1559414,-0.9073631763458252
1117099,1559417,-0.8899576663970947
1117099,12445437,0.8000156879425049
1117099,9692732,0.4880414605140686
1117099,11646671,0.8709700107574463
1117099,29451360,-0.702167272567749
1117099,12445438,0.7320666313171387
1117099,16933955,-0.47377556562423706
1117099,1121014,-0.8563351631164551
1117099,18251428,-0.9183441996574402
1117099,33137642,-0.9521961808204651
1117099,12445431,-0.9732020497322083
1117099,33183992,-0.7105768918991089
1117099,30995036,-0.9874778389930725
1117099,18939250,0.27616527676582336
1117099,11415840,0.8595989346504211
1117099,1121013,-0.9641069769859314
1117099,1800662,-0.967570424079895
1117099,33137641,-0.8685106039047241
1117099,11415843,0.9078961610794067
1117099,33346768,-0.16918565332889557
1117099,33137640,-0.9755685925483704
1117099,29387217,-0.8567860126495361
1117099,14972232,-0.8691569566726685
1117099,33137643,-0.9259921312332153
1117099,13679002,0.19976875185966492
1117099,18059543,-0.8862006664276123
1117099,30452372,-0.9516575932502747
1117099,30994991,-0.5895751714706421
1117099,18059547,-0.940281867980957
1117099,5925080,-0.904100775718689
1117099,5925083,-0.945075273513794
1117099,100426121,-0.6090399026870728
1117099,1951472,-0.6323739290237427
1117099,35621656,-0.953249454498291
1117099,36628,-0.16918565332889557
1117099,34822615,-0.974907636642456
1117099,36627,-0.8185691833496094
1117099,21121417,-0.9504082798957825
1117099,206740717,-0.8917523622512817
1117099,21559714,-0.9651787877082825
1117099,189392429,-0.9287253022193909
1117099,19514717,-0.8917523622512817
1117099,11415865,-0.08124308288097382
1117099,182514227,-0.9981080293655396
1117099,216045718,-0.9601027369499207
1117099,107336810,-0.6141901016235352
1117099,227636619,-0.9119570851325989
1117099,202265912,-0.8860956430435181
1117099,213987910,-0.9072171449661255
1117099,182514213,-0.2515537738800049
1117099,19514713,-0.9250790476799011
1117099,189824017,-0.9518762230873108
1117099,205392110,-0.9261928200721741
1117099,356216526,0.649315595626831
1117099,356217620,-0.9392647743225098
1117099,1670488,-0.3499155044555664
1117099,169339517,-0.9069164991378784
1117099,348226116,0.646695077419281
1117099,7397921,-0.9850635528564453
1117099,7397923,-0.9689971208572388
1117099,33185528,-0.9209703803062439
1117099,265182810,-0.9244533777236938
1117099,339298614,-0.9691979289054871
1117099,6694017,-0.8734941482543945
1117099,339298612,-0.8980494737625122
1117099,610869,-0.9756110906600952
1117099,339298613,-0.9373670220375061
1117099,339298618,-0.9212435483932495
1117099,83159613,-0.9250790476799011
1117099,348226118,-0.9370919466018677
1117099,146455811,-0.5679891109466553
1117099,146455819,-0.8902767896652222
1117099,287599118,-0.9815716743469238
1117099,265182819,-0.9119570851325989
1117099,138943117,-0.7814254760742188
1117099,16704820,0.7411775588989258
1117099,169388918,-0.9378793239593506
1117099,125370914,-0.9159368276596069
1117099,2771569,-0.4233447015285492
1117099,29694605,-0.9731522798538208
1117099,59250813,-0.9708644151687622
1117099,173912816,-0.9656161069869995
1117099,339222517,-0.8073164224624634
1117099,38438426,-0.8830167055130005
1117099,331855214,-0.8012182712554932
1117099,309949912,-0.12891244888305664
1117099,304523718,-0.9563422799110413
1117099,96927310,-0.9746749401092529
1117099,124454310,-0.9456509351730347
1117099,20539211,-0.8319001793861389
1117099,21604570,-0.8928112983703613
1117099,20674073,-0.9326121211051941
1117099,12271420,-0.8057373762130737
1117099,27222221,-0.8680024147033691
