,MRR@10,Recall@10,QueriesWithNoRelevant@10,QueriesWithRelevant@10,AverageRankGoldLabel@10,MedianRankGoldLabel@10,MRR@20,Recall@20,QueriesWithNoRelevant@20,QueriesWithRelevant@20,AverageRankGoldLabel@20,MedianRankGoldLabel@20,MRR@1000,Recall@1000,QueriesWithNoRelevant@1000,QueriesWithRelevant@1000,AverageRankGoldLabel@1000,MedianRankGoldLabel@1000,nDCG@3,nDCG@5,nDCG@10,nDCG@20,nDCG@1000,QueriesRanked,MAP@1000
7500,0.1489480158730159,0.313,1356,644,4.03416149068323,3.0,0.15754884343812364,0.4400833333333333,1101,899,7.229143492769744,6.0,0.16235159358415485,0.574625,830,1170,12.342735042735043,9.0,0.13064936236939254,0.15397471761187975,0.18528409838054147,0.2175612487328343,0.2456092813271696,2000,0.1586192759435103
15000,0.1598638888888889,0.34125,1303,697,4.051649928263989,3.0,0.16757733317594,0.4522916666666667,1075,925,6.824864864864865,5.0,0.17190081526065654,0.574625,830,1170,11.53931623931624,8.0,0.1424217328138292,0.16660034644670743,0.20057562548710386,0.22887679743952474,0.25428850555701726,2000,0.16846309865300305
22500,0.16769027777777779,0.35,1285,715,3.8965034965034966,3.0,0.17543382704971328,0.4612083333333334,1058,942,6.60828025477707,5.0,0.1794854849532591,0.574625,830,1170,10.993162393162393,7.0,0.15088591000499235,0.17587562668198858,0.20874487950881618,0.23718088960555989,0.26080058284865204,2000,0.17597871523223585
30000,0.17400992063492063,0.36275,1261,739,3.825439783491204,3.0,0.18168968392718393,0.46995833333333337,1039,961,6.401664932362123,4.0,0.18548350666951546,0.574625,830,1170,10.34017094017094,6.0,0.15830765657494442,0.1835505324099056,0.2167584543518203,0.24430429211089366,0.2662406232534521,2000,0.18194801754047735
37500,0.17925753968253968,0.3738333333333333,1238,762,3.770341207349081,3.0,0.18696399459458674,0.48154166666666665,1017,983,6.265513733468972,4.0,0.19038058156418464,0.574625,830,1170,9.777777777777779,6.0,0.1632854379861132,0.19288253691432108,0.22352759701713415,0.2512253906647771,0.27075454509708474,2000,0.18674040675481376
45000,0.1848390873015873,0.3830416666666666,1219,781,3.7439180537772088,3.0,0.19254936922812307,0.49054166666666665,998,1002,6.204590818363274,4.0,0.19562676753335123,0.574625,830,1170,9.362393162393163,5.0,0.1694683668522535,0.20006298634448497,0.230023196278704,0.2576914168775871,0.2753647593044114,2000,0.1920009250020904
52500,0.18869126984126985,0.3954583333333333,1194,806,3.800248138957816,3.0,0.1959063680192357,0.49679166666666663,986,1014,6.087771203155818,4.0,0.19877584083748778,0.574625,830,1170,9.021367521367521,5.0,0.17403802346965633,0.20397438377588326,0.23604562125385314,0.26209914156448394,0.2784608087200143,2000,0.19544957398451504
60000,0.19067619047619047,0.404875,1177,823,3.79951397326853,3.0,0.19766450015412862,0.5025416666666667,975,1025,6.001951219512195,4.0,0.20032105086470017,0.574625,830,1170,8.752136752136753,5.0,0.17574544268853617,0.20657430540864252,0.24006915381770266,0.26509865455264553,0.28026347485161707,2000,0.1973174271726339
67500,0.19503551587301587,0.4117083333333333,1162,838,3.81145584725537,3.0,0.20171957014648578,0.5047916666666666,970,1030,5.871844660194175,4.0,0.20427600929672382,0.574625,830,1170,8.553846153846154,5.0,0.17985295544333627,0.21001503669917407,0.2450046861562573,0.26885312021094476,0.2835281387503019,2000,0.2012126087464188
75000,0.1990767857142857,0.411625,1160,840,3.705952380952381,3.0,0.20598251730209935,0.507125,965,1035,5.76231884057971,4.0,0.2084378249018357,0.574625,830,1170,8.373504273504274,5.0,0.1847810404618418,0.21522162941218198,0.24815459987762387,0.27272963942388667,0.2869229972408586,2000,0.20529926230419748
