,document,relavance
1117099,32600300,-7.8394775390625
1117099,1227141,-7.563846111297607
1117099,12445430,-6.089990139007568
1117099,35621763,-5.044644355773926
1117099,13679001,-7.891860008239746
1117099,32807990,-6.301947593688965
1117099,13921262,-7.759912014007568
1117099,33929861,-6.514272212982178
1117099,30995030,3.2037642002105713
1117099,21121413,-6.956314563751221
1117099,13679003,-5.858482360839844
1117099,16050091,-7.567645072937012
1117099,2301644,-0.37689900398254395
1117099,25997112,-5.600264072418213
1117099,29072031,4.7215070724487305
1117099,29072041,4.2881364822387695
1117099,2771562,-6.410135269165039
1117099,28006811,-5.877344608306885
1117099,21814233,-6.181638717651367
1117099,21398796,3.7486484050750732
1117099,258780,-5.902933120727539
1117099,23068000,2.463113784790039
1117099,22952505,-4.855246067047119
1117099,29387213,-4.135185718536377
1117099,25170205,-6.593083381652832
1117099,1559414,-6.110757827758789
1117099,1559417,-6.112947940826416
1117099,12445437,1.9869012832641602
1117099,9692732,-2.325822353363037
1117099,11646671,3.806962251663208
1117099,29451360,-6.609626293182373
1117099,12445438,-0.8530482053756714
1117099,16933955,-3.503385543823242
1117099,1121014,-6.1892595291137695
1117099,18251428,-6.533562183380127
1117099,33137642,-7.356775283813477
1117099,12445431,-6.107969284057617
1117099,33183992,-6.837873458862305
1117099,30995036,-6.651297569274902
1117099,18939250,-4.893240451812744
1117099,11415840,3.1947662830352783
1117099,1121013,-7.3232526779174805
1117099,1800662,-7.034792900085449
1117099,33137641,-7.359962463378906
1117099,11415843,4.0590057373046875
1117099,33346768,-4.3133745193481445
1117099,33137640,-7.011630535125732
1117099,29387217,-7.295130252838135
1117099,14972232,-6.133873462677002
1117099,33137643,-7.743762016296387
1117099,13679002,-2.4624557495117188
1117099,18059543,-7.6811981201171875
1117099,30452372,-7.040558815002441
1117099,30994991,-5.919712066650391
1117099,18059547,-7.2919111251831055
1117099,5925080,-6.5917277336120605
1117099,5925083,-7.1540374755859375
1117099,100426121,-4.473952770233154
1117099,1951472,-3.984987258911133
1117099,35621656,-6.544924259185791
1117099,36628,-3.6177754402160645
1117099,34822615,-6.561008453369141
1117099,36627,-6.068939685821533
1117099,21121417,-6.36733341217041
1117099,206740717,-6.541234493255615
1117099,21559714,-6.890342712402344
1117099,189392429,-6.532951354980469
1117099,19514717,-6.541234493255615
1117099,11415865,-4.172135353088379
1117099,182514227,-7.000909328460693
1117099,216045718,-6.3441338539123535
1117099,107336810,-5.5636067390441895
1117099,227636619,-6.792542457580566
1117099,202265912,-5.9823737144470215
1117099,213987910,-6.195241928100586
1117099,182514213,1.0420448780059814
1117099,19514713,-6.261604309082031
1117099,189824017,-6.175849437713623
1117099,205392110,-6.3643999099731445
1117099,356216526,-0.6260539293289185
1117099,356217620,-6.682671070098877
1117099,1670488,-4.263858795166016
1117099,169339517,-6.031951427459717
1117099,348226116,-3.0662620067596436
1117099,7397921,-6.85559606552124
1117099,7397923,-7.088377475738525
1117099,33185528,-7.0269975662231445
1117099,265182810,-6.719982147216797
1117099,339298614,-7.079427242279053
1117099,6694017,-6.081537246704102
1117099,339298612,-6.61032772064209
1117099,610869,-7.138152122497559
1117099,339298613,-6.497997283935547
1117099,339298618,-7.464909553527832
1117099,83159613,-6.261604309082031
1117099,348226118,-5.923267841339111
1117099,146455811,-1.0274790525436401
1117099,146455819,-6.3239827156066895
1117099,287599118,-7.2916717529296875
1117099,265182819,-6.9228668212890625
1117099,138943117,-6.054476737976074
1117099,16704820,-0.009702563285827637
1117099,169388918,-6.49925422668457
1117099,125370914,-6.698036193847656
1117099,2771569,-4.131838321685791
1117099,29694605,-8.358196258544922
1117099,59250813,-6.719914436340332
1117099,173912816,-5.404679298400879
1117099,339222517,-4.967418193817139
1117099,38438426,-6.8840203285217285
1117099,331855214,-3.2942819595336914
1117099,309949912,-1.2632391452789307
1117099,304523718,-6.231418132781982
1117099,96927310,-8.046958923339844
1117099,124454310,-6.418850421905518
1117099,20539211,-6.8818206787109375
1117099,21604570,-6.265247344970703
1117099,20674073,-6.548340320587158
1117099,12271420,-5.73684024810791
1117099,27222221,-6.386564254760742
1117099,258783,-5.577557563781738
1117099,26092271,0.5858943462371826
1117099,21595710,-6.094078540802002
1117099,25170200,-6.7036566734313965
1117099,20226590,-5.59053373336792
1117099,12271423,-6.425317764282227
1117099,124454324,-5.0418477058410645
1117099,123966612,-8.330686569213867
1117099,13861865,-6.055288314819336
1117099,55435713,-6.611338138580322
1117099,215597125,-6.265002250671387
1117099,224288915,-7.191983699798584
1117099,610860,-6.500229358673096
1117099,136790012,-6.458073616027832
1117099,33643380,-6.8510613441467285
1117099,272222213,1.6069414615631104
1117099,28566003,-5.930637359619141
1117099,28759913,-5.406291484832764
1117099,35621653,-6.818950653076172
1117099,14645583,-6.4849772453308105
1117099,32600301,-0.9633402824401855
1117099,35621760,-6.451959609985352
1117099,18251421,1.8709006309509277
1117099,5033172,-3.923095226287842
1117099,10733680,-6.999007225036621
1117099,35621651,-6.656744956970215
1117099,12537093,-3.7138941287994385
1117099,415810,-6.373777389526367
1117099,34822610,-3.069647789001465
1117099,415811,-1.9576950073242188
1117099,32807992,-6.882300853729248
1117099,13861860,-6.342703819274902
1117099,29072043,3.7211947441101074
1117099,24051285,-6.33473539352417
1117099,13679007,-3.79414963722229
1117099,24051288,-3.9432778358459473
1117099,25170207,-6.345892906188965
1117099,21398798,-0.39745891094207764
1117099,22533651,-7.40070104598999
1117099,26092291,-2.5513172149658203
1117099,1227145,-6.390700340270996
1117099,5543578,-7.574278831481934
1117099,13795641,1.7040793895721436
1117099,1070341,-5.8320698738098145
1117099,28759917,-6.044699668884277
1117099,18059548,-7.792438983917236
1117099,32807995,-7.09301233291626
1117099,18059557,-6.406631946563721
1117099,34171833,-6.211864948272705
1117099,29694600,-3.1944921016693115
1117099,30995035,-5.12318229675293
1117099,107336813,-6.591146469116211
1117099,107336819,-7.259846210479736
1117099,5033176,-5.717769622802734
1117099,10733682,-6.228096008300781
1117099,610864,-7.216012477874756
1117099,669401,-6.257846832275391
1117099,5033170,-6.258341312408447
1117099,21398794,-6.710759162902832
1117099,182514229,-8.853649139404297
1117099,216045720,-6.752230644226074
1117099,229525015,-3.5425667762756348
1117099,180595414,-6.168414115905762
1117099,180595415,-6.387217998504639
1117099,189292821,-4.424971580505371
1117099,229525014,2.6460530757904053
1117099,18929289,-7.081258296966553
1117099,202265929,-6.8517537117004395
1117099,202265914,-6.302388668060303
1117099,227636610,-6.719982147216797
1117099,189292817,-7.382707118988037
1117099,19150768,-7.110374927520752
1117099,19514710,-6.719982147216797
1117099,205392126,-6.338804244995117
1117099,189392420,-6.46263313293457
1117099,189292812,-6.9335174560546875
1117099,11415868,-2.2073402404785156
1117099,182514211,1.5872070789337158
1117099,22428897,-6.511797904968262
1117099,189824016,-6.920047283172607
1117099,180595513,-6.1612091064453125
1117099,22533656,-0.4599663019180298
1117099,114158423,-0.2939009666442871
1117099,240512818,-6.759589195251465
1117099,21559716,-6.816427707672119
1117099,4158110,-6.725075721740723
1117099,240512814,-3.8707313537597656
1117099,4158129,-6.685295581817627
1117099,240512821,-6.460655212402344
1117099,356216515,-6.7698445320129395
1117099,251702012,-2.009096622467041
1117099,146455822,-5.969317436218262
1117099,280068127,-6.529669284820557
1117099,339298615,-6.488709926605225
1117099,27715618,-6.600737571716309
1117099,14645589,-7.4609479904174805
1117099,13795645,-1.744417667388916
1117099,6108623,-6.88429594039917
1117099,265182827,-6.529669284820557
1117099,27715617,-6.667057991027832
1117099,6108619,-6.792542457580566
1117099,348226125,-2.004152536392212
1117099,280068114,-3.3783271312713623
1117099,146455816,-6.29198694229126
1117099,33922256,-5.8879523277282715
1117099,272222211,-7.219575881958008
1117099,280068121,-6.208981513977051
1117099,6694018,-7.892005443572998
1117099,30452375,-7.609603404998779
1117099,287599119,-0.5218836069107056
1117099,138943111,-5.5909647941589355
1117099,287599116,-6.646236896514893
1117099,309950318,1.0392675399780273
1117099,30076499,-6.322103023529053
1117099,31722397,-6.69830322265625
