,MRR@10,Recall@10,QueriesWithNoRelevant@10,QueriesWithRelevant@10,AverageRankGoldLabel@10,MedianRankGoldLabel@10,MRR@20,Recall@20,QueriesWithNoRelevant@20,QueriesWithRelevant@20,AverageRankGoldLabel@20,MedianRankGoldLabel@20,MRR@1000,Recall@1000,QueriesWithNoRelevant@1000,QueriesWithRelevant@1000,AverageRankGoldLabel@1000,MedianRankGoldLabel@1000,nDCG@3,nDCG@5,nDCG@10,nDCG@20,nDCG@1000,QueriesRanked,MAP@1000
7500,0.17186765873015872,0.384375,1212,788,3.988578680203046,3.0,0.17871885957609643,0.4817916666666666,1016,984,6.1432926829268295,4.0,0.18210184420410064,0.574625,830,1170,9.682905982905982,6.0,0.15145116324606367,0.1849878344276537,0.21960076071108436,0.24455412137480204,0.26403142424505677,2000,0.17732428499206696
15000,0.17990654761904762,0.387875,1206,794,3.866498740554156,3.0,0.18739940435596394,0.49445833333333333,990,1010,6.223762376237624,4.0,0.19031253128352518,0.574625,830,1170,9.26837606837607,6.0,0.1630567869801522,0.19182807243727892,0.22682925617103664,0.2541317400303899,0.27095982505645055,2000,0.18583632225017244
22500,0.20031507936507936,0.40920833333333334,1162,838,3.627684964200477,3.0,0.20751398672491939,0.5075416666666667,964,1036,5.648648648648648,4.0,0.20998688102744673,0.574625,830,1170,8.226495726495726,5.0,0.18474538876048735,0.21430472134702092,0.24748094271028276,0.27304283269858365,0.2871884350183648,2000,0.2049707310319502
30000,0.2131950396825397,0.424625,1132,868,3.563364055299539,3.0,0.219372182908251,0.5109583333333333,957,1043,5.434324065196549,4.0,0.22171978494497285,0.574625,830,1170,7.891452991452992,4.0,0.1943913905353497,0.22915383977284734,0.2609579620046205,0.28315242007338254,0.2966117289493479,2000,0.2167068383497438
37500,0.2169222222222222,0.426625,1129,871,3.462686567164179,3.0,0.22321519976626403,0.514625,950,1050,5.378095238095238,3.5,0.22542208147025738,0.574625,830,1170,7.720512820512821,4.0,0.2006873088865898,0.2346402114293521,0.2643142850117987,0.28694843082173677,0.29961945586103345,2000,0.22025151291563105
45000,0.21838789682539683,0.43829166666666663,1106,894,3.5917225950783,3.0,0.22410544429340867,0.519625,940,1060,5.383962264150943,3.0,0.22611827157599843,0.574625,830,1170,7.5316239316239315,4.0,0.20237473736092182,0.2343425970066474,0.26836226558072984,0.28912122408176516,0.30071361217616194,2000,0.2214030744936964
52500,0.22043333333333334,0.436625,1109,891,3.548821548821549,3.0,0.22616941314619335,0.516875,945,1055,5.286255924170616,3.0,0.2283129807113587,0.574625,830,1170,7.503418803418803,4.0,0.20423109978177043,0.2374576620053941,0.26979003701864984,0.29039502193202704,0.3026210813554071,2000,0.22404844429335236
60000,0.22483273809523807,0.43820833333333337,1106,894,3.4217002237136467,3.0,0.23106984427251454,0.524375,930,1070,5.270093457943926,3.0,0.23287180156465165,0.574625,830,1170,7.266666666666667,4.0,0.2082765178815984,0.24195607010663941,0.27376450219282533,0.29602226468799064,0.3065613833978759,2000,0.2287373830300823
67500,0.23663630952380954,0.4480416666666666,1085,915,3.3901639344262295,3.0,0.2420890703981261,0.526625,927,1073,5.103448275862069,3.0,0.243836473638092,0.574625,830,1170,7.058974358974359,4.0,0.22122519012792408,0.2543733776348522,0.2845710272170104,0.30469037709811847,0.3147884608823682,2000,0.23902854030539963
75000,0.22300833333333334,0.438375,1107,893,3.4456886898096304,3.0,0.22868847985734594,0.5162916666666666,948,1052,5.104562737642586,3.0,0.23089796325541212,0.574625,830,1170,7.391452991452992,4.0,0.2085984404108495,0.24122894814181212,0.2719985208901771,0.2921660951690086,0.30450843526116544,2000,0.2259584759097032
